gutenberg_id,text
1514,A MIDSUMMER NIGHT'S DREAM
1514,
1514,by William Shakespeare
1514,
1514,
1514,
1514,
1514,Persons Represented.
1514,
1514,"THESEUS, Duke of Athens."
1514,"EGEUS, Father to Hermia."
1514,"LYSANDER, in love with Hermia."
1514,"DEMETRIUS, in love with Hermia."
1514,"PHILOSTRATE, Master of the Revels to Theseus."
1514,"QUINCE, the Carpenter."
1514,"SNUG, the Joiner."
1514,"BOTTOM, the Weaver."
1514,"FLUTE, the Bellows-mender."
1514,"SNOUT, the Tinker."
1514,"STARVELING, the Tailor."
1514,
1514,"HIPPOLYTA, Queen of the Amazons, bethrothed to Theseus."
1514,"HERMIA, daughter to Egeus, in love with Lysander."
1514,"HELENA, in love with Demetrius."
1514,
1514,"OBERON, King of the Fairies."
1514,"TITANIA, Queen of the Fairies."
1514,"PUCK, or ROBIN GOODFELLOW, a Fairy."
1514,"PEASBLOSSOM, Fairy."
1514,"COBWEB, Fairy."
1514,"MOTH, Fairy."
1514,"MUSTARDSEED, Fairy."
1514,
1514,"PYRAMUS, THISBE, WALL, MOONSHINE, LION } Characters in the"
1514,Interlude performed by the Clowns.
1514,
1514,Other Fairies attending their King and Queen.
1514,Attendants on Theseus and Hippolyta.
1514,
1514,
1514,
1514,"SCENE: Athens, and a wood not far from it."
1514,
1514,ACT I.
1514,
1514,SCENE I. Athens. A room in the Palace of THESEUS.
1514,
1514,"[Enter THESEUS, HIPPOLYTA, PHILOSTRATE, and Attendants.]"
1514,
1514,THESEUS
1514,"Now, fair Hippolyta, our nuptial hour"
1514,Draws on apace; four happy days bring in
1514,"Another moon; but, oh, methinks, how slow"
1514,"This old moon wanes! she lingers my desires,"
1514,"Like to a step-dame or a dowager,"
1514,Long withering out a young man's revenue.
1514,
1514,HIPPOLYTA
1514,Four days will quickly steep themselves in nights;
1514,Four nights will quickly dream away the time;
1514,"And then the moon, like to a silver bow"
1514,"New bent in heaven, shall behold the night"
1514,Of our solemnities.
1514,
1514,THESEUS
1514,"                    Go, Philostrate,"
1514,Stir up the Athenian youth to merriments;
1514,Awake the pert and nimble spirit of mirth;
1514,Turn melancholy forth to funerals--
1514,The pale companion is not for our pomp. --
1514,
1514,[Exit PHILOSTRATE.]
1514,
1514,"Hippolyta, I woo'd thee with my sword,"
1514,And won thy love doing thee injuries;
1514,"But I will wed thee in another key,"
1514,"With pomp, with triumph, and with revelling."
1514,
1514,"[Enter EGEUS, HERMIA, LYSANDER, and DEMETRIUS.]"
1514,
1514,EGEUS
1514,"Happy be Theseus, our renowned duke!"
1514,
1514,THESEUS
1514,"Thanks, good Egeus: what's the news with thee?"
1514,
1514,EGEUS
1514,"Full of vexation come I, with complaint"
1514,"Against my child, my daughter Hermia.--"
1514,"Stand forth, Demetrius.--My noble lord,"
1514,This man hath my consent to marry her:--
1514,"Stand forth, Lysander;--and, my gracious duke,"
1514,This man hath bewitch'd the bosom of my child.
1514,"Thou, thou, Lysander, thou hast given her rhymes,"
1514,And interchang'd love-tokens with my child:
1514,"Thou hast by moonlight at her window sung,"
1514,"With feigning voice, verses of feigning love;"
1514,And stol'n the impression of her fantasy
1514,"With bracelets of thy hair, rings, gawds, conceits,"
1514,"Knacks, trifles, nosegays, sweetmeats,--messengers"
1514,Of strong prevailment in unharden'd youth;--
1514,With cunning hast thou filch'd my daughter's heart;
1514,"Turned her obedience, which is due to me,"
1514,"To stubborn harshness.--And, my gracious duke,"
1514,Be it so she will not here before your grace
1514,"Consent to marry with Demetrius,"
1514,"I beg the ancient privilege of Athens,--"
1514,As she is mine I may dispose of her:
1514,Which shall be either to this gentleman
1514,Or to her death; according to our law
1514,Immediately provided in that case.
1514,
1514,THESEUS
1514,"What say you, Hermia? be advis'd, fair maid:"
1514,To you your father should be as a god;
1514,"One that compos'd your beauties: yea, and one"
1514,"To whom you are but as a form in wax,"
1514,"By him imprinted, and within his power"
1514,"To leave the figure, or disfigure it."
1514,Demetrius is a worthy gentleman.
1514,
1514,HERMIA
1514,So is Lysander.
1514,
1514,THESEUS
1514,                In himself he is:
1514,"But, in this kind, wanting your father's voice,"
1514,The other must be held the worthier.
1514,
1514,HERMIA
1514,I would my father look'd but with my eyes.
1514,
1514,THESEUS
1514,Rather your eyes must with his judgment look.
1514,
1514,HERMIA
1514,I do entreat your grace to pardon me.
1514,"I know not by what power I am made bold,"
1514,Nor how it may concern my modesty
1514,In such a presence here to plead my thoughts:
1514,But I beseech your grace that I may know
1514,The worst that may befall me in this case
1514,If I refuse to wed Demetrius.
1514,
1514,THESEUS
1514,"Either to die the death, or to abjure"
1514,For ever the society of men.
1514,"Therefore, fair Hermia, question your desires,"
1514,"Know of your youth, examine well your blood,"
1514,"Whether, if you yield not to your father's choice,"
1514,You can endure the livery of a nun;
1514,"For aye to be shady cloister mew'd,"
1514,"To live a barren sister all your life,"
1514,"Chanting faint hymns to the cold, fruitless moon."
1514,Thrice-blessed they that master so their blood
1514,To undergo such maiden pilgrimage:
1514,But earthlier happy is the rose distill'd
1514,"Than that which, withering on the virgin thorn,"
1514,"Grows, lives, and dies, in single blessedness."
1514,
1514,HERMIA
1514,"So will I grow, so live, so die, my lord,"
1514,Ere I will yield my virgin patent up
1514,"Unto his lordship, whose unwished yoke"
1514,My soul consents not to give sovereignty.
1514,
1514,THESEUS
1514,"Take time to pause; and by the next new moon,--"
1514,The sealing-day betwixt my love and me
1514,"For everlasting bond of fellowship,--"
1514,Upon that day either prepare to die
1514,For disobedience to your father's will;
1514,"Or else to wed Demetrius, as he would;"
1514,Or on Diana's altar to protest
1514,For aye austerity and single life.
1514,
1514,DEMETRIUS
1514,"Relent, sweet Hermia;--and, Lysander, yield"
1514,Thy crazed title to my certain right.
1514,
1514,LYSANDER
1514,"You have her father's love, Demetrius;"
1514,Let me have Hermia's: do you marry him.
1514,
1514,EGEUS
1514,"Scornful Lysander! true, he hath my love;"
1514,And what is mine my love shall render him;
1514,And she is mine; and all my right of her
1514,I do estate unto Demetrius.
1514,
1514,LYSANDER
1514,"I am, my lord, as well deriv'd as he,"
1514,As well possess'd; my love is more than his;
1514,"My fortunes every way as fairly rank'd,"
1514,"If not with vantage, as Demetrius's;"
1514,"And, which is more than all these boasts can be,"
1514,I am belov'd of beauteous Hermia:
1514,Why should not I then prosecute my right?
1514,"Demetrius, I'll avouch it to his head,"
1514,"Made love to Nedar's daughter, Helena,"
1514,"And won her soul; and she, sweet lady, dotes,"
1514,"Devoutly dotes, dotes in idolatry,"
1514,Upon this spotted and inconstant man.
1514,
1514,THESEUS
1514,"I must confess that I have heard so much,"
1514,And with Demetrius thought to have spoke thereof;
1514,"But, being over-full of self-affairs,"
1514,"My mind did lose it.--But, Demetrius, come;"
1514,"And come, Egeus; you shall go with me;"
1514,I have some private schooling for you both.--
1514,"For you, fair Hermia, look you arm yourself"
1514,"To fit your fancies to your father's will,"
1514,"Or else the law of Athens yields you up,--"
1514,"Which by no means we may extenuate,--"
1514,"To death, or to a vow of single life.--"
1514,"Come, my Hippolyta: what cheer, my love?"
1514,"Demetrius, and Egeus, go along;"
1514,I must employ you in some business
1514,"Against our nuptial, and confer with you"
1514,Of something nearly that concerns yourselves.
1514,
1514,EGEUS
1514,With duty and desire we follow you.
1514,
1514,"[Exeunt THESEUS, HIPPOLYTA, EGEUS, DEMETRIUS, and Train.]"
1514,
1514,LYSANDER
1514,"How now, my love! why is your cheek so pale?"
1514,How chance the roses there do fade so fast?
1514,
1514,HERMIA
1514,"Belike for want of rain, which I could well"
1514,Beteem them from the tempest of my eyes.
1514,
1514,LYSANDER
1514,"Ah me! for aught that I could ever read,"
1514,"Could ever hear by tale or history,"
1514,The course of true love never did run smooth:
1514,"But either it was different in blood,--"
1514,
1514,HERMIA
1514,O cross! Too high to be enthrall'd to low!
1514,
1514,LYSANDER
1514,Or else misgraffed in respect of years;--
1514,
1514,HERMIA
1514,O spite! Too old to be engag'd to young!
1514,
1514,LYSANDER
1514,Or else it stood upon the choice of friends:
1514,
1514,HERMIA
1514,O hell! to choose love by another's eye!
1514,
1514,LYSANDER
1514,"Or, if there were a sympathy in choice,"
1514,"War, death, or sickness, did lay siege to it,"
1514,"Making it momentary as a sound,"
1514,"Swift as a shadow, short as any dream;"
1514,Brief as the lightning in the collied night
1514,"That, in a spleen, unfolds both heaven and earth,"
1514,"And ere a man hath power to say, Behold!"
1514,The jaws of darkness do devour it up:
