gutenberg_id,text
1507,THE TRAGEDY OF TITUS ANDRONICUS
1507,
1507,by William Shakespeare
1507,
1507,
1507,
1507,
1507,PERSONS REPRESENTED.
1507,
1507,"SATURNINUS, Son to the late Emperor of Rome, afterwards declared"
1507,Emperor.
1507,"BASSIANUS, Brother to Saturninus, in love with Lavinia."
1507,"TITUS ANDRONICUS, a noble Roman, General against the Goths."
1507,"MARCUS ANDRONICUS, Tribune of the People, and Brother to Titus."
1507,
1507,"LUCIUS, Son to Titus Andronicus."
1507,"QUINTUS, Son to Titus Andronicus."
1507,"MARTIUS, Son to Titus Andronicus."
1507,"MUTIUS, Son to Titus Andronicus."
1507,
1507,"YOUNG LUCIUS, a Boy, Son to Lucius."
1507,"PUBLIUS, Son to Marcus the Tribune."
1507,
1507,"AEMILIUS, a noble Roman."
1507,
1507,"ALARBUS, Son to Tamora."
1507,"DEMETRIUS, Son to Tamora."
1507,"CHIRON, Son to Tamora."
1507,
1507,"AARON, a Moor, beloved by Tamora"
1507,"A Captain, Tribune, Messenger,and Clown--Romans"
1507,Goths and Romans.
1507,
1507,"TAMORA, Queen of the Goths"
1507,"LAVINIA, Daughter to Titus Andronicus"
1507,"A NURSE, and a black CHILD."
1507,
1507,"Kinsmen to Titus, Senators, Tribunes, Officers, Soldiers, and"
1507,Attendants.
1507,
1507,"SCENE: Rome, and the Country near it."
1507,
1507,
1507,ACT 1.
1507,
1507,SCENE I. Rome. Before the Capitol.
1507,
1507,[The Tomb of Andronic appearing; the Tribunes and Senators aloft.
1507,"Enter, below, SATURNINUS and his Followers on one side, and"
1507,"BASSIANUS and his Followers at the other, with drums and"
1507,colours.]
1507,
1507,SATURNINUS.
1507,"Noble patricians, patrons of my right,"
1507,Defend the justice of my cause with arms;
1507,"And, countrymen, my loving followers,"
1507,Plead my successive title with your swords:
1507,I am his first born son that was the last
1507,That wore the imperial diadem of Rome:
1507,"Then let my father's honours live in me,"
1507,Nor wrong mine age with this indignity.
1507,
1507,BASSIANUS.
1507,"Romans,--friends, followers, favourers of my right,--"
1507,"If ever Bassianus, Caesar's son,"
1507,"Were gracious in the eyes of royal Rome,"
1507,Keep then this passage to the Capitol;
1507,And suffer not dishonour to approach
1507,"The imperial seat, to virtue consecrate,"
1507,"To justice, continence, and nobility:"
1507,But let desert in pure election shine;
1507,"And, Romans, fight for freedom in your choice."
1507,
1507,"[Enter MARCUS ANDRONICUS aloft, with the crown.]"
1507,
1507,MARCUS.
1507,"Princes,--that strive by factions and by friends"
1507,"Ambitiously for rule and empery,--"
1507,"Know that the people of Rome, for whom we stand"
1507,"A special party, have by common voice,"
1507,In election for the Roman empery
1507,"Chosen Andronicus, surnamed Pius"
1507,For many good and great deserts to Rome:
1507,"A nobler man, a braver warrior,"
1507,Lives not this day within the city walls.:
1507,He by the senate is accited home
1507,From weary wars against the barbarous Goths;
1507,"That with his sons, a terror to our foes,"
1507,"Hath yok'd a nation strong, train'd up in arms."
1507,Ten years are spent since first he undertook
1507,"This cause of Rome, and chastised with arms"
1507,Our enemies' pride: five times he hath return'd
1507,"Bleeding to Rome, bearing his valiant sons"
1507,In coffins from the field;
1507,"And now at last, laden with honour's spoils,"
1507,"Returns the good Andronicus to Rome,"
1507,"Renowned Titus, flourishing in arms."
1507,"Let us entreat,--by honour of his name"
1507,"Whom worthily you would have now succeed,"
1507,"And in the Capitol and senate's right,"
1507,"Whom you pretend to honour and adore,--"
1507,That you withdraw you and abate your strength;
1507,"Dismiss your followers, and, as suitors should,"
1507,Plead your deserts in peace and humbleness.
1507,
1507,SATURNINUS.
1507,How fair the tribune speaks to calm my thoughts!
1507,
1507,BASSIANUS.
1507,"Marcus Andronicus, so I do affy"
1507,"In thy uprightness and integrity,"
1507,"And so I love and honour thee and thine,"
1507,"Thy noble brother Titus and his sons,"
1507,"And her to whom my thoughts are humbled all,"
1507,"Gracious Lavinia, Rome's rich ornament,"
1507,That I will here dismiss my loving friends;
1507,And to my fortunes and the people's favour
1507,Commit my cause in balance to be weigh'd.
1507,
1507,[Exeunt the Followers of BASSIANUS.]
1507,
1507,SATURNINUS.
1507,"Friends, that have been thus forward in my right,"
1507,I thank you all and here dismiss you all;
1507,And to the love and favour of my country
1507,"Commit myself, my person, and the cause."
1507,
1507,[Exeunt the Followers of SATURNINUS.]
1507,
1507,"Rome, be as just and gracious unto me"
1507,As I am confident and kind to thee.--
1507,"Open the gates, tribunes, and let me in."
1507,
1507,BASSIANUS.
1507,"Tribunes, and me, a poor competitor."
1507,
1507,[Flourish. Exeunt; SATURNINUS and BASSIANUS go up into the
1507,Capitol.]
1507,
1507,[Enter a Captain.]
1507,
1507,CAPTAIN.
1507,"Romans, make way. The good Andronicus,"
1507,"Patron of virtue, Rome's best champion,"
1507,"Successful in the battles that he fights,"
1507,With honour and with fortune is return'd
1507,From where he circumscribed with his sword
1507,And brought to yoke the enemies of Rome.
1507,
1507,"[Flourish of trumpets, &c. Enter MARTIUS and MUTIUS; after them"
1507,two Men bearing a coffin covered with black; then LUCIUS and
1507,"QUINTUS. After them TITUS ANDRONICUS; and then TAMORA, with"
1507,"ALARBUS, DEMETRIUS, CHIRON, AARON, and other Goths, prisoners;"
1507,"soldiers and People following. The bearers set down the coffin,"
1507,and TITUS speaks.]
1507,
1507,TITUS.
1507,"Hail, Rome, victorious in thy mourning weeds!"
1507,"Lo, as the bark that hath discharg'd her fraught"
1507,Returns with precious lading to the bay
1507,"From whence at first she weigh'd her anchorage,"
1507,"Cometh Andronicus, bound with laurel boughs,"
1507,"To re-salute his country with his tears,--"
1507,Tears of true joy for his return to Rome.--
1507,"Thou great defender of this Capitol,"
1507,Stand gracious to the rites that we intend!--
1507,"Romans, of five and twenty valiant sons,"
1507,"Half of the number that King Priam had,"
1507,"Behold the poor remains, alive and dead!"
1507,These that survive let Rome reward with love;
1507,"These that I bring unto their latest home,"
1507,With burial amongst their ancestors;
1507,Here Goths have given me leave to sheathe my sword.
1507,"Titus, unkind, and careless of thine own,"
1507,"Why suffer'st thou thy sons, unburied yet,"
1507,To hover on the dreadful shore of Styx?--
1507,Make way to lay them by their brethren.--
1507,
1507,[The tomb is opened.]
1507,
1507,"There greet in silence, as the dead are wont,"
1507,"And sleep in peace, slain in your country's wars!"
1507,"O sacred receptacle of my joys,"
1507,"Sweet cell of virtue and nobility,"
1507,"How many sons  of mine hast thou in store,"
1507,That thou wilt never render to me more!
1507,
1507,LUCIUS.
1507,"Give us the proudest prisoner of the Goths,"
1507,"That we may hew his limbs, and on a pile"
1507,Ad manes fratrum sacrifice his flesh
1507,Before this earthy prison of their bones;
1507,"That so the shadows be not unappeas'd,"
1507,Nor we disturb'd with prodigies on earth.
1507,
1507,TITUS.
1507,"I give him you,--the noblest that survives,"
1507,The eldest son of this distressed queen.
1507,
1507,TAMORA.
1507,"Stay, Roman brethen!--Gracious conqueror,"
1507,"Victorious Titus, rue the tears I shed,"
1507,A mother's tears in passion for her son:
1507,"And if thy sons were ever dear to thee,"
1507,"O, think my son to be as dear to me!"
1507,"Sufficeth not that we are brought to Rome,"
1507,"To beautify thy triumphs and return,"
1507,Captive to thee and to thy Roman yoke;
1507,But must my sons be slaughter'd in the streets
1507,For valiant doings in their country's cause?
1507,"O, if to fight for king and common weal"
1507,"Were piety in thine, it is in these."
1507,"Andronicus, stain not thy tomb with blood:"
1507,Wilt thou draw near the nature of the gods?
1507,"Draw near them, then, in being merciful:"
1507,Sweet mercy is nobility's true badge:
1507,"Thrice-noble Titus, spare my first-born son."
1507,
1507,TITUS.
1507,"Patient yourself, madam, and pardon me."
1507,"These are their brethren, whom your Goths beheld"
1507,Alive and dead; and for their brethren slain
1507,Religiously they ask a sacrifice:
1507,"To this your son is mark'd; and die he must,"
1507,To appease their groaning shadows that are gone.
1507,
1507,LUCIUS.
1507,Away with him! and make a fire straight;
1507,"And with our swords, upon a pile of wood,"
1507,Let's hew his limbs till they be clean consum'd.
1507,
1507,"[Exeunt LUCIUS, QUINTUS, MARTIUS, and MUTIUS with ALARBUS.]"
1507,
1507,TAMORA.
1507,"O cruel, irreligious piety!"
1507,
1507,CHIRON.
1507,Was ever Scythia half so barbarous!
1507,
1507,DEMETRIUS.
1507,Oppose not Scythia to ambitious Rome.
1507,Alarbus goes to rest; and we survive
1507,To tremble under Titus' threatening look.
1507,"Then, madam, stand resolv'd; but hope withal"
1507,The self-same gods that arm'd the Queen of Troy
1507,With opportunity of sharp revenge
1507,"Upon the Thracian tyrant in his tent,"
1507,"May favour Tamora, the queen of Goths,--"
1507,"When Goths were Goths and Tamora was queen,--"
1507,To quit the bloody wrongs upon her foes.
1507,
1507,"[Re-enter LUCIUS, QUINTUS, MARTIUS,and MUTIUS, with their swords"
1507,bloody.]
1507,
1507,LUCIUS.
1507,"See, lord and father, how we have perform'd"
1507,"Our Roman rites: Alarbus' limbs are lopp'd,"
1507,"And entrails feed the sacrificing fire,"
1507,Whose smoke like incense doth perfume the sky.
1507,"Remaineth naught but to inter our brethren,"
1507,And with loud 'larums welcome them to Rome.
1507,
1507,TITUS.
1507,"Let it be so, and let Andronicus"
1507,Make this his latest farewell to their souls.
1507,
1507,[Trumpets sounded and the coffin laid in the tomb.]
1507,
1507,"In peace and honour rest you here, my sons;"
1507,"Rome's readiest champions, repose you here in rest,"
1507,Secure from worldly chances and mishaps!
1507,"Here lurks no treason, here no envy swells,"
1507,"Here grow no damned grudges; here are no storms,"
1507,"No noise, but silence and eternal sleep:"
1507,
1507,[Enter LAVINIA.]
1507,
1507,"In peace and honour rest you here, my sons!"
1507,
1507,LAVINIA.
1507,In peace and honour live Lord Titus long;
1507,"My noble lord and father, live in fame!"
1507,"Lo, at this tomb my tributary tears"
1507,I render for my brethren's obsequies;
1507,"And at thy feet I kneel, with tears of joy"
1507,Shed on this earth for thy return to Rome;
1507,"O, bless me here with thy victorious hand,"
1507,Whose fortunes Rome's best citizens applaud!
1507,
1507,TITUS.
1507,"Kind Rome, that hast thus lovingly reserv'd"
1507,The cordial of mine age to glad my heart!--
1507,"Lavinia, live; outlive thy father's days,"
1507,"And fame's eternal date, for virtue's praise!"
1507,
1507,"[Enter, below, MARCUS ANDRONICUS and Tribunes; re-enter"
1507,"SATURNINUS, BASSIANUS, and Attendants.]"
1507,
1507,MARCUS.
1507,"Long live Lord Titus, my beloved brother,"
1507,Gracious triumpher in the eyes of Rome!
1507,
1507,TITUS.
1507,"Thanks, gentle tribune, noble brother Marcus."
1507,
1507,MARCUS.
1507,"And welcome, nephews, from successful wars,"
1507,You that survive and you that sleep in fame!
1507,"Fair lords, your fortunes are alike in all,"
1507,That in your country's service drew your swords:
1507,But safer triumph is this funeral pomp
1507,That hath aspir'd to Solon's happiness
1507,And triumphs over chance in honour's bed.--
1507,"Titus Andronicus, the people of Rome,"
1507,"Whose friend in justice thou hast ever been,"
1507,"Send thee by me, their tribune and their trust,"
1507,This palliament of white and spotless hue;
1507,And name thee in election for the empire
1507,With these our late-deceased emperor's sons:
1507,"Be candidatus then, and put it on,"
1507,And help to set a head on headless Rome.
1507,
1507,TITUS.
1507,A better head her glorious body fits
1507,Than his that shakes for age and feebleness:
1507,"What, should I don this robe and trouble you?"
1507,"Be chosen with proclamations to-day,"
1507,"To-morrow yield up rule, resign my life,"
1507,And set abroach new business for you all?
1507,"Rome, I have been thy soldier forty years,"
1507,"And led my country's strength successfully,"
1507,"And buried one-and-twenty valiant sons,"
1507,"Knighted in field, slain manfully in arms,"
1507,In right and service of their noble country:
1507,"Give me a staff of honour for mine age,"
1507,But not a sceptre to control the world;
1507,"Upright he held it, lords, that held it last."
1507,
1507,MARCUS.
1507,"Titus, thou shalt obtain and ask the empery."
1507,
1507,SATURNINUS.
1507,"Proud and ambitious tribune, canst thou tell?"
1507,
1507,TITUS.
1507,"Patience, Prince Saturninus."
1507,
1507,SATURNINUS.
1507,"Romans, do me right;--"
1507,"Patricians, draw your swords, and sheathe them not"
1507,Till Saturninus be Rome's Emperor.--
1507,"Andronicus, would thou were shipp'd to hell"
1507,Rather than rob me of the people's hearts!
1507,
1507,LUCIUS.
1507,"Proud Saturnine, interrupter of the good"
1507,That noble-minded Titus means to thee!
1507,
1507,TITUS.
1507,"Content thee, prince; I will restore to thee"
1507,"The people's hearts, and wean them from themselves."
1507,
1507,BASSIANUS.
1507,"Andronicus, I do not flatter thee,"
1507,"But honour thee, and will do till I die."
1507,"My faction if thou strengthen with thy friends,"
1507,I will most thankful be; and thanks to men
1507,Of noble minds is honourable meed.
1507,
1507,TITUS.
1507,"People of Rome, and people's tribunes here,"
1507,I ask your voices and your suffrages:
1507,Will you bestow them friendly on Andronicus?
1507,
1507,TRIBUNES.
1507,"To gratify the good Andronicus,"
1507,"And gratulate his safe return to Rome,"
1507,The people will accept whom he admits.
1507,
1507,TITUS.
1507,"Tribunes, I thank you: and this suit I make,"
1507,"That you create your emperor's eldest son,"
1507,"Lord Saturnine; whose virtues will, I hope,"
1507,"Reflect on Rome as Titan's rays on earth,"
1507,And ripen justice in this commonweal:
1507,"Then, if you will elect by my advice,"
1507,"Crown him, and say 'Long live our Emperor!'"
1507,
1507,MARCUS.
1507,"With voices and applause of every sort,"
1507,"Patricians and plebeians, we create"
1507,Lord Saturninus Rome's great emperor;
1507,And say 'Long live our Emperor Saturnine!'
1507,[A long flourish.]
1507,
1507,SATURNINUS.
1507,"Titus Andronicus, for thy favours done"
1507,To us in our election this day
1507,"I give thee thanks in part of thy deserts,"
