gutenberg_id,text
1532,THE TRAGEDY OF KING LEAR
1532,
1532,by William Shakespeare
1532,
1532,
1532,
1532,
1532,Persons Represented.
1532,
1532,"Lear, King of Britain."
1532,King of France.
1532,Duke of Burgundy.
1532,Duke of Cornwall.
1532,Duke of Albany.
1532,Earl of Kent.
1532,Earl of Gloster.
1532,"Edgar, Son to Gloster."
1532,"Edmund, Bastard Son to Gloster."
1532,"Curan, a Courtier."
1532,"Old Man, Tenant to Gloster."
1532,Physician.
1532,Fool.
1532,"Oswald, steward to Goneril."
1532,An Officer employed by Edmund.
1532,"Gentleman, attendant on Cordelia."
1532,A Herald.
1532,Servants to Cornwall.
1532,
1532,"Goneril, daughter to Lear."
1532,"Regan, daughter to Lear."
1532,"Cordelia, daughter to Lear."
1532,
1532,"Knights attending on the King, Officers, Messengers, Soldiers,"
1532,and Attendants.
1532,
1532,"Scene,--Britain."
1532,
1532,
1532,
1532,ACT I.
1532,
1532,Scene I. A Room of State in King Lear's Palace.
1532,
1532,"[Enter Kent, Gloster, and Edmund.]"
1532,
1532,Kent.
1532,I thought the King had more affected the Duke of Albany than
1532,Cornwall.
1532,
1532,Glou.
1532,"It did always seem so to us; but now, in the division of the"
1532,"kingdom, it appears not which of the Dukes he values most, for"
1532,equalities are so weighed that curiosity in neither can make
1532,choice of either's moiety.
1532,
1532,Kent.
1532,"Is not this your son, my lord?"
1532,
1532,Glou.
1532,"His breeding, sir, hath been at my charge: I have so often"
1532,blush'd to acknowledge him that now I am braz'd to't.
1532,
1532,Kent.
1532,I cannot conceive you.
1532,
1532,Glou.
1532,"Sir, this young fellow's mother could: whereupon she grew"
1532,"round-wombed, and had indeed, sir, a son for her cradle ere she"
1532,had a husband for her bed. Do you smell a fault?
1532,
1532,Kent.
1532,"I cannot wish the fault undone, the issue of it being so proper."
1532,
1532,Glou.
1532,"But I have, sir, a son by order of law, some year elder than"
1532,"this, who yet is no dearer in my account: though this knave came"
1532,"something saucily into the world before he was sent for, yet was"
1532,"his mother fair; there was good sport at his making, and the"
1532,"whoreson must be acknowledged.--Do you know this noble gentleman,"
1532,Edmund?
1532,
1532,Edm.
1532,"No, my lord."
1532,
1532,Glou.
1532,My Lord of Kent: remember him hereafter as my honourable friend.
1532,
1532,Edm.
1532,My services to your lordship.
1532,
1532,Kent.
1532,"I must love you, and sue to know you better."
1532,
1532,Edm.
1532,"Sir, I shall study deserving."
1532,
1532,Glou.
1532,"He hath been out nine years, and away he shall again.--The king"
1532,is coming.
1532,
1532,[Sennet within.]
1532,
1532,"[Enter Lear, Cornwall, Albany, Goneril, Regan, Cordelia, and"
1532,Attendants.]
1532,
1532,Lear.
1532,"Attend the lords of France and Burgundy,"
1532,Gloster.
1532,
1532,Glou.
1532,"I shall, my liege."
1532,
1532,[Exeunt Gloster and Edmund.]
1532,
1532,Lear.
1532,Meantime we shall express our darker purpose.--
1532,Give me the map there.--Know that we have divided
1532,In three our kingdom: and 'tis our fast intent
1532,To shake all cares and business from our age;
1532,"Conferring them on younger strengths, while we"
1532,"Unburden'd crawl toward death.--Our son of Cornwall,"
1532,"And you, our no less loving son of Albany,"
1532,We have this hour a constant will to publish
1532,"Our daughters' several dowers, that future strife"
1532,"May be prevented now. The princes, France and Burgundy,"
1532,"Great rivals in our youngest daughter's love,"
1532,"Long in our court have made their amorous sojourn,"
1532,"And here are to be answer'd.--Tell me, my daughters,--"
1532,"Since now we will divest us both of rule,"
1532,"Interest of territory, cares of state,--"
1532,Which of you shall we say doth love us most?
1532,That we our largest bounty may extend
1532,"Where nature doth with merit challenge.--Goneril,"
1532,"Our eldest-born, speak first."
1532,
1532,Gon.
1532,"Sir, I love you more than words can wield the matter;"
1532,"Dearer than eyesight, space, and liberty;"
1532,"Beyond what can be valu'd, rich or rare;"
1532,"No less than life, with grace, health, beauty, honour;"
1532,"As much as child e'er lov'd, or father found;"
1532,A love that makes breath poor and speech unable;
1532,Beyond all manner of so much I love you.
1532,
1532,Cor.
1532,"[Aside.] What shall Cordelia speak? Love, and be silent."
1532,
1532,Lear.
1532,"Of all these bounds, even from this line to this,"
1532,"With shadowy forests and with champains rich'd,"
1532,"With plenteous rivers and wide-skirted meads,"
1532,We make thee lady: to thine and Albany's issue
1532,"Be this perpetual.--What says our second daughter,"
1532,"Our dearest Regan, wife to Cornwall? Speak."
1532,
1532,Reg.
1532,"Sir, I am made of the selfsame metal that my sister is,"
1532,And prize me at her worth. In my true heart
1532,I find she names my very deed of love;
1532,"Only she comes too short,--that I profess"
1532,Myself an enemy to all other joys
1532,"Which the most precious square of sense possesses,"
1532,And find I am alone felicitate
1532,In your dear highness' love.
1532,
1532,Cor.
1532,[Aside.] Then poor Cordelia!
1532,"And yet not so; since, I am sure, my love's"
1532,More richer than my tongue.
1532,
1532,Lear.
1532,To thee and thine hereditary ever
1532,Remain this ample third of our fair kingdom;
1532,"No less in space, validity, and pleasure"
1532,"Than that conferr'd on Goneril.--Now, our joy,"
1532,"Although the last, not least; to whose young love"
1532,The vines of France and milk of Burgundy
1532,Strive to be interess'd; what can you say to draw
1532,A third more opulent than your sisters? Speak.
1532,
1532,Cor.
1532,"Nothing, my lord."
1532,
1532,Lear.
1532,Nothing!
1532,
1532,Cor.
1532,Nothing.
1532,
1532,Lear.
1532,Nothing can come of nothing: speak again.
1532,
1532,Cor.
1532,"Unhappy that I am, I cannot heave"
1532,My heart into my mouth: I love your majesty
1532,According to my bond; no more nor less.
1532,
1532,Lear.
1532,"How, how, Cordelia? mend your speech a little,"
1532,Lest you may mar your fortunes.
1532,
1532,Cor.
1532,"Good my lord,"
1532,"You have begot me, bred me, lov'd me: I"
1532,"Return those duties back as are right fit,"
1532,"Obey you, love you, and most honour you."
1532,Why have my sisters husbands if they say
1532,"They love you all? Haply, when I shall wed,"
1532,That lord whose hand must take my plight shall carry
1532,"Half my love with him, half my care and duty:"
1532,"Sure I shall never marry like my sisters,"
1532,To love my father all.
1532,
1532,Lear.
1532,But goes thy heart with this?
1532,
1532,Cor.
1532,"Ay, good my lord."
1532,
1532,Lear.
1532,"So young, and so untender?"
1532,
1532,Cor.
1532,"So young, my lord, and true."
1532,
1532,Lear.
1532,"Let it be so,--thy truth then be thy dower:"
1532,"For, by the sacred radiance of the sun,"
1532,"The mysteries of Hecate, and the night;"
1532,"By all the operation of the orbs,"
1532,From whom we do exist and cease to be;
1532,"Here I disclaim all my paternal care,"
1532,"Propinquity, and property of blood,"
1532,And as a stranger to my heart and me
1532,"Hold thee, from this for ever. The barbarous Scythian,"
1532,Or he that makes his generation messes
1532,"To gorge his appetite, shall to my bosom"
1532,"Be as well neighbour'd, pitied, and reliev'd,"
1532,As thou my sometime daughter.
1532,
1532,Kent.
1532,"Good my liege,--"
1532,
1532,Lear.
1532,"Peace, Kent!"
1532,Come not between the dragon and his wrath.
1532,"I lov'd her most, and thought to set my rest"
1532,"On her kind nursery.--Hence, and avoid my sight!--[To Cordelia.]"
