gutenberg_id,text
1513,ROMEO AND JULIET
1513,
1513,by William Shakespeare
1513,
1513,
1513,
1513,
1513,PERSONS REPRESENTED
1513,
1513,"Escalus, Prince of Verona."
1513,"Paris, a young Nobleman, kinsman to the Prince."
1513,"Montague,}Heads of two Houses at variance with each other."
1513,"Capulet, }"
1513,"An Old Man, Uncle to Capulet."
1513,"Romeo, Son to Montague."
1513,"Mercutio, Kinsman to the Prince, and Friend to Romeo."
1513,"Benvolio, Nephew to Montague, and Friend to Romeo."
1513,"Tybalt, Nephew to Lady Capulet."
1513,"Friar Lawrence, a Franciscan."
1513,"Friar John, of the same Order."
1513,"Balthasar, Servant to Romeo."
1513,"Sampson, Servant to Capulet."
1513,"Gregory, Servant to Capulet."
1513,"Peter, Servant to Juliet's Nurse."
1513,"Abraham, Servant to Montague."
1513,An Apothecary.
1513,Three Musicians.
1513,Chorus.
1513,Page to Paris; another Page.
1513,An Officer.
1513,
1513,"Lady Montague, Wife to Montague."
1513,"Lady Capulet, Wife to Capulet."
1513,"Juliet, Daughter to Capulet."
1513,Nurse to Juliet.
1513,
1513,"Citizens of Verona; several Men and Women, relations to both"
1513,"houses; Maskers, Guards, Watchmen, and Attendants."
1513,
1513,
1513,
1513,"SCENE.--During the greater part of the Play in Verona; once, in"
1513,"the Fifth Act, at Mantua."
1513,
1513,THE PROLOGUE
1513,
1513,[Enter Chorus.]
1513,
1513,Chor.
1513,"Two households, both alike in dignity,"
1513,"  In fair Verona, where we lay our scene,"
1513,"From ancient grudge break to new mutiny,"
1513,  Where civil blood makes civil hands unclean.
1513,From forth the fatal loins of these two foes
1513,  A pair of star-cross'd lovers take their life;
1513,Whose misadventur'd piteous overthrows
1513,  Doth with their death bury their parents' strife.
1513,"The fearful passage of their death-mark'd love,"
1513,"  And the continuance of their parents' rage,"
1513,"Which but their children's end naught could remove,"
1513,  Is now the two hours' traffic of our stage;
1513,"The which, if you with patient ears attend,"
1513,"What here shall miss, our toil shall strive to mend."
1513,
1513,
1513,ACT I.
1513,
1513,Scene I. A public place.
1513,
1513,[Enter Sampson and Gregory armed with swords and bucklers.]
1513,
1513,Sampson.
1513,"Gregory, o' my word, we'll not carry coals."
1513,
1513,Gregory.
1513,"No, for then we should be colliers."
1513,
1513,Sampson.
1513,"I mean, an we be in choler we'll draw."
1513,
1513,Gregory.
1513,"Ay, while you live, draw your neck out o' the collar."
1513,
1513,Sampson.
1513,"I strike quickly, being moved."
1513,
1513,Gregory.
1513,But thou art not quickly moved to strike.
